Index,Repository Name,Project Type,Automation Files,Stars,Forks,Project Size (KB),Commits (30 days),Open PRs (30 days),Closed PRs (30 days),Open Issues (30 days),Closed Issues (30 days),Rejection Rate (%),Avg. Merge Time (hours),Avg. Resolution Time (hours),Automation Group,Bot PR Closure Rate (%),Bot Issue Closure Rate (%),Bot Activity Score
1,apache/beam,Open Source,325,7968,4291,764649,30,29,71,18,9,17.0,33.4906121399177,26.826656746031745,High Automation,40,50,349.0
2,pytorch/pytorch,Mixed,99,86261,23220,1023897,30,69,31,21,3,31.0,,4.520263157894736,High Automation,40,50,109.2
3,grafana/grafana,Mixed,52,66064,12331,1301551,30,44,56,21,0,6.0,14.64052777777778,8.12312661498708,High Automation,40,0,68.8
4,mlflow/mlflow,Open Source,51,19329,4324,712934,30,15,85,12,6,8.0,25.86584776334776,25.00902027027027,High Automation,40,50,78.3
5,kubeflow/kubeflow,Open Source,47,14576,2443,324158,0,20,80,1,25,55.00000000000001,349.2712666666667,1076.9081673441733,High Automation,40,50,78.5
6,open-telemetry/opentelemetry-java-instrumentation,Open Source,47,2039,881,182429,30,8,92,11,10,4.0,32.91032512626263,32.2948353909465,High Automation,40,50,77.6
7,hashicorp/consul,Mixed,43,28608,4430,501181,4,22,78,9,1,36.0,16.963955026455025,47.54530907668231,High Automation,40,50,66.7
8,apache/spark,Open Source,41,40402,28466,486764,30,28,72,0,0,72.0,,8.436072530864196,High Automation,40,0,62.599999999999994
9,nodejs/node,Mixed,39,109187,30402,1225017,30,46,54,23,6,24.0,57.83942592592592,33.66643055555556,High Automation,40,50,57.0
10,huggingface/transformers,Open Source,38,138129,27699,270350,30,62,38,26,5,4.0,23.18687091503268,19.58020833333333,High Automation,40,50,50.9
11,grafana/loki,Mixed,37,24465,3534,305072,30,20,80,12,0,3.0,7.497867965367965,7.996513687600644,High Automation,40,0,61.0
12,timescale/timescaledb,Mixed,35,18255,900,45591,30,16,84,14,1,12.0,99.66472222222222,70.63448688271603,High Automation,40,50,60.5
13,rook/rook,Open Source,35,12567,2695,66008,30,13,87,10,12,8.0,32.705523909985935,30.69793248945148,High Automation,40,50,64.7
14,open-telemetry/opentelemetry-collector-contrib,Open Source,33,3225,2498,529669,30,48,52,23,3,7.000000000000001,9.438246913580246,9.23497807017544,High Automation,40,50,49.5
15,pulumi/pulumi,Open Source,30,22313,1151,155947,30,11,89,33,18,26.0,32.77757936507937,38.518826628352485,High Automation,40,50,62.1
16,hashicorp/vault,Mixed,29,31649,4270,308904,30,25,75,9,4,10.0,54.10871794871796,35.69533249158249,High Automation,40,50,52.7
17,prefecthq/prefect,Open Source,29,18136,1695,170504,30,17,83,16,9,0.0,17.260706157965195,18.664822866344604,High Automation,40,50,56.599999999999994
18,vercel/next.js,Open Source,29,128858,27505,2168157,30,36,64,20,19,16.0,7.587523148148147,5.184759615384616,High Automation,40,50,53.9
19,apache/avro,Open Source,29,2987,1656,56831,30,28,72,0,0,17.0,227.42847474747472,334.3730825617284,High Automation,40,0,50.599999999999994
20,electron/electron,Open Source,27,115266,15766,161744,30,32,68,17,6,2.0,33.69742003367003,15.06268181818182,High Automation,40,50,49.2
21,openssl/openssl,Open Source,27,26477,10275,254221,30,31,69,22,11,68.0,0.0252777777777777,49.76820512820513,High Automation,40,50,51.0
22,saltstack/salt,Open Source,26,14304,5501,547290,0,41,59,34,4,8.0,50.06716775599127,36.86337222222223,High Automation,40,50,44.9
23,apache/airflow,Open Source,25,38464,14564,327862,30,31,69,7,5,12.0,7.8541910331384015,7.001788194444444,High Automation,40,50,47.2
24,jaegertracing/jaeger,Open Source,25,20842,2500,31120,30,12,88,9,14,17.0,23.855269953051643,24.582393689986283,High Automation,40,50,55.599999999999994
25,vectorizedio/redpanda,Mixed,23,9914,601,106588,30,33,67,11,4,3.0,38.29805989583333,35.71223180076628,High Automation,40,50,44.3
26,pytorch/serve,Open Source,23,4276,870,125080,0,25,75,27,9,16.0,84.08890301318267,139.28219696969697,High Automation,40,50,48.2
27,kyverno/kyverno,Open Source,23,5981,931,135963,30,12,88,26,0,22.0,14.38171296296296,12.445868055555556,High Automation,40,0,49.4
28,opensearch-project/OpenSearch,Open Source,22,10117,1922,573733,30,30,70,23,2,5.0,24.551141025641027,17.930235849056604,High Automation,40,50,43.599999999999994
29,NixOS/nixpkgs,Open Source,22,19086,14784,4830948,30,91,9,4,1,0.0,1.5051851851851852,1.4627469135802469,High Automation,40,50,25.0
30,apache/arrow,Open Source,22,14906,3604,204109,30,25,75,35,23,7.000000000000001,51.41537990196079,34.03273242630385,High Automation,40,50,51.4
31,python/cpython,Mixed,21,64930,30972,655886,30,47,53,25,5,4.0,7.942386621315192,3.8219444444444446,High Automation,40,50,38.4
32,open-telemetry/opentelemetry-operator,Open Source,21,1292,480,8759,30,26,74,25,7,7.000000000000001,47.803101160862354,44.93338141025641,High Automation,40,50,45.3
33,open-telemetry/opentelemetry-service,Open Source,20,4763,1529,50365,30,25,75,12,4,6.0,23.584746376811594,24.056329966329965,High Automation,40,50,43.7
34,numpy/numpy,Mixed,20,28664,10369,152951,30,14,86,13,25,7.000000000000001,38.233442334739806,36.71453703703704,High Automation,40,50,53.3
35,open-telemetry/opentelemetry-collector,Open Source,20,4763,1529,50365,30,25,75,12,4,6.0,23.584746376811594,24.056329966329965,High Automation,40,50,43.7
